Concelho,Long,Lat,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020
Fafe,-8.17051895080635,41.4562371198924,0,0,5,5,5,0,6,7,8,8,9,10,12,12,13,13,16,23,28,29,30,30,29,35,35
Faro,-7.91697791732242,37.0255175301254,8,9,25,26,26,20,21,26,28,32,34,36,37,39,39,39,42,44,42,50,52,52,53,54,58
Felgueiras,-8.2011430735212,41.3496471937077,17,17,24,26,26,37,42,45,50,56,66,72,91,94,108,111,118,126,145,159,163,168,186,198,201
Ferreira Do Alentejo,-8.18192098909998,38.0711611106282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferreira Do Zêzere,-8.30843598719327,39.7189222042736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Figueira Da Foz,-8.82898004494887,40.1591466928123,0,0,0,3,3,0,7,3,3,4,7,9,9,9,9,10,12,13,12,12,13,14,14,17,17
Figueira De Castelo Rodrigo,-6.95744930076894,40.895632225123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3
Figueiró Dos Vinhos,-8.28239253620145,39.8926647292044,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,4,4,4,4,4,4,4,4,4
Fornos De Algodres,-7.51636997344878,40.6362251368466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freixo De Espada À Cinta,-6.82563500825098,41.1101127082177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fronteira,-7.63135965122413,39.0808419938576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fundão,-7.4877764438633,40.1358409683218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavião,-7.90315653456308,39.4395436180512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Góis,-8.11478990174545,40.1280410182915,0,0,0,0,0,0,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,8,8,8,8
Golegã,-8.49931093978011,39.3911828346304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gondomar,-8.5295916902384,41.1513219028786,56,62,114,149,153,242,276,298,337,373,424,447,478,489,528,556,587,629,646,681,701,718,738,777,797
Gouveia,-7.58558702219575,40.5164892671021,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,12,12,12,13,13,14,14,16
Grândola,-8.59718112875265,38.1984281717642,0,0,6,6,6,0,6,3,3,3,3,3,3,3,3,3,3,4,4,4,6,7,7,7,7
Guarda,-7.25307415077954,40.5311841268428,3,3,0,0,0,0,4,3,3,3,4,4,4,5,3,3,14,14,15,16,16,16,16,17,18
Guimarães,-8.32047940153626,41.4456400651577,15,17,41,51,51,70,75,81,89,99,105,120,127,131,147,149,161,174,189,201,214,219,236,262,277
Idanha-A-Nova,-7.15009195978857,39.9215325625142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ílhavo,-8.70243610643998,40.6133702545003,0,0,10,12,12,12,0,14,18,23,25,45,54,54,86,86,83,84,87,88,88,88,89,90,90
Lagoa (Faro),-8.71736325547582,37.136059941478,3,3,0,0,3,0,0,0,0,0,0,0,3,3,3,0,3,3,3,3,3,3,3,3,4
Lagos,-8.68697191233897,37.1128198899817,0,0,4,0,0,18,18,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3
Lamego,-7.80999283188933,41.0944049046722,0,0,0,0,0,0,4,5,6,8,8,8,9,9,10,10,10,10,13,13,15,16,25,25,27
Leiria,-8.80479780063398,39.761282033908,0,0,7,7,7,10,10,6,18,19,21,22,22,22,25,25,29,32,36,38,38,43,44,47,51
Lisboa,-9.15155278887784,38.7399220090321,175,187,284,284,366,594,633,505,546,594,634,654,681,699,754,773,797,851,867,890,905,946,962,996,1020
Loulé,-8.06070909054215,37.1276621435992,0,0,8,14,13,15,17,23,25,25,26,26,33,39,41,41,41,42,41,42,42,43,48,52,52
Loures,-9.13247543189135,38.8211510331695,24,28,28,28,57,64,72,84,101,109,117,126,131,130,134,138,158,179,191,196,201,212,221,231,240
