CONCELHO,Lng Ponderado,Lat Ponderado,Pop,Area Ha,H,M,0-4,5-9,10-13,14-19,20-24,25-64,>=65
LOULÉ,-8.06070909054215,37.1276621435992,70163,76366,92,34203,35960,3267,3393,2899,4210,3765,39091,13538
LOURES,-9.13247543189135,38.8211510331695,199547,16723,99,95713,103834,10273,10320,8619,12795,11409,112100,34036
LOURINHÃ,-9.28621514624102,39.240098274891,25735,14717,2,12518,13217,1237,1346,1135,1624,1355,13987,5051
LOUSÃ,-8.23220777932716,40.1191052615364,17604,13840,01,8518,9086,899,921,768,1072,909,9878,3157
LOUSADA,-8.27613927768953,41.2817687151587,47387,9608,01,23077,24310,2514,2904,2700,4114,3160,26764,5231
MAÇÃO,-7.99270759776845,39.5933500874532,7338,39997,99,3487,3851,180,220,210,356,288,3203,2881
MACEDO DE CAVALEIROS,-6.94259815939047,41.5402229146924,15776,69914,08,7491,8285,505,627,568,876,833,7932,4435
Machico,-16.7843682241164,32.7375161997234,21828,6825,17,10620,11208,903,1178,1120,1638,1369,12538,3082
MADALENA,-28.4702844150358,38.4939984400448,6049,14712,34,2963,3086,248,289,275,426,395,3307,1109
MAFRA,-9.31204038245196,38.9547457932735,76685,29165,5,37317,39368,4904,4985,3658,4706,3638,43450,11344
MAIA,-8.60468207273833,41.2312127734518,135306,8299,38,64855,70451,7371,7693,6239,8310,6994,80591,18108
MANGUALDE,-7.74713194119347,40.5991105657087,19880,21925,56,9559,10321,743,935,791,1254,1065,10360,4732
MANTEIGAS,-7.52799594386174,40.3962908320937,3430,12197,55,1622,1808,82,114,124,191,186,1745,988
MARCO DE CANAVESES,-8.17396623484734,41.1512256826699,53450,20188,97,26039,27411,2778,3122,3002,4518,3483,29588,6959
MARINHA GRANDE,-8.95349240527133,39.7789052286826,38699,18725,19,18634,20065,1798,2002,1598,2314,1840,21984,7163
MARVÃO,-7.36128609197432,39.3954744250535,3512,15489,9,1720,1792,81,123,103,176,144,1725,1160
MATOSINHOS,-8.66282537889886,41.2033389856386,175478,6241,97,83444,92034,8047,8227,7132,10801,9756,103230,28285
MEALHADA,-8.44282371517275,40.3601013323769,20428,11065,66,9823,10605,890,940,809,1189,1036,11238,4326
MÊDA,-7.25421789175689,40.9047560798835,5202,28604,92,2460,2742,134,174,164,257,239,2446,1788
MELGAÇO,-8.24784133548996,42.0875501747554,9213,23824,59,4076,5137,255,270,235,444,383,4250,3376
MÉRTOLA,-7.68031367702595,37.6666320568896,7274,129287,33,3593,3681,181,221,212,339,359,3449,2513
MESÃO FRIO,-7.87628462902055,41.1630751370611,4433,2664,87,2121,2312,155,196,193,305,261,2394,929
MIRA,-8.75021904260608,40.4294408828945,12465,12403,39,5902,6563,488,481,471,705,648,6528,3144
MIRANDA DO CORVO,-8.32831639308428,40.1106823928227,13098,12637,79,6311,6787,487,583,615,830,711,7052,2820
MIRANDA DO DOURO,-6.35086282922808,41.4926254123445,7482,48718,31,3667,3815,213,230,222,398,320,3676,2423
MIRANDELA,-7.18059305257892,41.4985715500072,23850,65895,68,11353,12497,824,966,862,1496,1319,12367,6016
MOGADOURO,-6.68320857481199,41.3276607522326,9542,76064,91,4699,4843,256,279,277,490,434,4723,3083
MOIMENTA DA BEIRA,-7.62994072481955,40.9742631626774,10212,21996,91,4888,5324,399,467,469,742,587,5131,2417
MOITA,-9.01489820742124,38.6511187088697,66029,5525,98,31708,34321,3410,3489,2951,4357,3766,36775,11281
MONÇÃO,-8.44576906284915,42.0457471630889,19230,21130,87,8728,10502,647,697,559,1001,938,9970,5418
MONCHIQUE,-8.58386529206572,37.3243001062603,6045,39530,43,3046,2999,193,185,183,269,271,3029,1915
MONDIM DE BASTO,-7.92001150130248,41.4042733959079,7493,17207,52,3598,3895,282,371,363,627,431,3810,1609
MONFORTE,-7.43610604918521,39.0471398183115,3329,42024,82,1553,1776,157,171,119,213,154,1560,955
MONTALEGRE,-7.83826451283795,41.7706837901971,10537,80545,73,5096,5441,240,314,348,602,478,5074,3481
MONTEMOR-O-NOVO,-8.24724878059728,38.6642560561506,17437,123296,66,8461,8976,631,741,589,874,831,8768,5003
MONTEMOR-O-VELHO,-8.64887874890211,40.2137138839399,26171,22896,21,12616,13555,1125,1133,905,1459,1418,14285,5846
MONTIJO,-8.94606289094826,38.7025932701247,51222,34861,63,24723,26499,3132,2712,2151,2899,2605,29154,8569
MORA,-8.11973863453825,38.9402990308336,4978,44395,03,2415,2563,138,173,151,230,206,2424,1656
MORTÁGUA,-8.24255758714056,40.4086539946929,9607,25117,81,4621,4986,311,321,307,495,480,5018,2675
MOURA,-7.32772859215277,38.1366401048448,15167,95845,55,7447,7720,730,817,715,943,837,7549,3576
MOURÃO,-7.28019544108976,38.3339180292593,2663,27862,98,1315,1348,114,141,129,191,157,1248,683
MURÇA,-7.43818427545629,41.4127787580827,5952,18937,1,2900,3052,174,239,202,370,280,3016,1671
MURTOSA,-8.66386352410735,40.752721589623,10585,7308,78,5096,5489,506,554,463,714,570,5390,2388
NAZARÉ,-9.0389522174264,39.6058285152632,15158,8243,43,7237,7921,651,687,617,949,782,8419,3053
NELAS,-7.87569110105354,40.522874624739,14037,12571,48,6676,7361,585,700,527,791,668,7327,3439
NISA,-7.65262288133863,39.4953401241349,7450,57567,84,3537,3913,183,252,213,303,283,3390,2826
NORDESTE,-25.2155117368423,37.8218245659985,4937,10146,79,2445,2492,269,282,261,370,332,2550,873
ÓBIDOS,-9.16786910504855,39.3602714816755,11772,14155,44,5724,6048,490,594,518,680,557,6335,2598
ODEMIRA,-8.64199060381978,37.6266997078845,26066,172060,16,13171,12895,952,1068,918,1308,1343,13642,6835
ODIVELAS,-9.1919967661751,38.7956452638781,145142,2654,36,69101,76041,7653,7148,5788,8690,8140,84106,23617
OEIRAS,-9.26992775451772,38.7126125569546,172120,4588,31,80137,91983,8930,9139,6899,9691,8433,96059,32969
OLEIROS,-7.86803510530831,39.9430452814407,5721,47109,31,2721,3000,109,123,123,242,219,2642,2263
OLHÃO,-7.82273319787362,37.0435452317767,45396,13086,37,22174,23222,2496,2589,1983,2855,2297,25154,8022
OLIVEIRA DE AZEMÉIS,-8.4739196634989,40.8531742794241,68611,16110,4,33282,35329,2706,3187,3025,4688,4003,38960,12042
OLIVEIRA DE FRADES,-8.22331234518822,40.7167853741272,10261,14534,62,4868,5393,431,537,441,692,625,5371,2164
OLIVEIRA DO BAIRRO,-8.54933218684199,40.5175257003603,23028,8731,99,10915,12113,1185,1173,1013,1450,1142,12329,4736
OLIVEIRA DO HOSPITAL,-7.864012058711,40.3641945733029,20855,23451,66,10007,10848,751,899,907,1359,1056,10816,5067
OURÉM,-8.5877937770773,39.6688166009306,45940,41668,03,21661,24279,1867,2201,2110,3192,2628,23785,10157
OURIQUE,-8.28633816821854,37.6505372820864,5389,66331,36,2656,2733,138,200,174,243,230,2645,1759
OVAR,-8.62198321316794,40.8896543168231,55398,14770,25,26671,28727,2468,2827,2637,3818,3119,31721,8808
PAÇOS DE FERREIRA,-8.37615226306858,41.2856253074151,56340,7099,28,28081,28259,3031,3349,3184,4578,3737,32198,6263
PALMELA,-8.88350573442106,38.6116068465098,62831,46512,01,30486,32345,3444,3734,2897,3758,3052,34975,10971
PAMPILHOSA DA SERRA,-7.89505447995311,40.0787747170143,4481,39646,24,2065,2416,87,108,104,172,151,1966,1893
PAREDES,-8.38535866498357,41.206270570211,86854,15675,69,42530,44324,4770,5475,4749,6746,5566,49770,9778
PAREDES DE COURA,-8.57095255878073,41.9067651972928,9198,13818,6,4373,4825,365,386,299,452,512,4712,2472
PEDRÓGÃO GRANDE,-8.18070571810532,39.937034302422,3915,12874,75,1851,2064,104,155,150,206,174,1815,1311
PENACOVA,-8.28502580006223,40.2857352272532,15251,21673,23,7208,8043,513,641,590,861,712,8197,3737
PENAFIEL,-8.28971645612882,41.1641132489854,72265,21224,28,35191,37074,3625,4242,3921,6017,4696,40554,9210
PENALVA DO CASTELO,-7.68895767617859,40.6701383192757,7956,13433,9,3815,4141,265,327,314,468,391,3890,2301
PENAMACOR,-7.1607831452,40.1574942758296,5682,56370,7,2760,2922,101,137,141,245,234,2343,2481
PENEDONO,-7.39532873941968,40.9978547482201,2952,13370,75,1415,1537,85,127,121,176,145,1453,845
