Concelho;Long;Lat;3/24/20;3/25/20;3/26/20;3/27/20;3/28/20;3/29/20;3/30/20;3/31/20;4/1/20;4/2/20;4/3/20;4/4/20;4/5/20;4/6/20;4/7/20;4/8/20;4/9/20;4/10/20;4/11/20;4/12/20;4/13/20
MortAgua;-8,242557587;40,40865399;0;0;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0;0;0;0
Moura;-7,327728592;38,1366401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22;22
MourAo;-7,280195441;38,33391803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Murca;-7,438184275;41,41277876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Murtosa;-8,663863524;40,75272159;0;0;0;4;5;0;6;6;7;7;7;6;6;6;6;6;6;6;6;6;6
NazarE;-9,038952217;39,60582852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nelas;-7,875691101;40,52287462;0;0;3;3;4;0;5;4;7;7;8;9;9;9;9;10;12;13;13;13;13
Nisa;-7,652622881;39,49534012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obidos;-9,167869105;39,36027148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
Odemira;-8,641990604;37,62669971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Odivelas;-9,191996766;38,79564526;14;18;18;18;46;63;64;66;72;83;86;93;95;95;99;100;112;124;131;136;141
Oeiras;-9,269927755;38,71261256;16;17;17;17;47;74;79;70;78;93;100;116;120;125;142;146;152;161;163;167;168
Oleiros;-7,868035105;39,94304528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OlhAo;-7,822733198;37,04354523;0;0;0;0;0;3;3;3;5;5;7;7;7;9;9;9;9;10;11;11;12
Oliveira De AzemEis;-8,473919663;40,85317428;11;18;26;30;46;67;71;59;67;71;75;82;84;86;92;94;99;106;114;117;118
Oliveira De Frades;-8,223312345;40,71678537;0;0;0;0;3;7;7;6;6;7;7;7;7;7;7;8;8;8;8;8;8
Oliveira Do Bairro;-8,549332187;40,5175257;0;0;6;7;7;9;10;9;10;10;10;11;11;11;13;13;14;15;15;15;15
Oliveira Do Hospital;-7,864012059;40,36419457;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;4;4;5;6
OurEm;-8,587793777;39,6688166;0;3;3;3;4;0;5;5;9;9;10;14;15;15;19;19;21;25;25;26;26
Ourique;-8,286338168;37,65053728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ovar;-8,621983213;40,88965432;55;58;119;145;145;159;241;159;194;209;220;222;238;224;247;273;275;379;403;409;416
Pacos De Ferreira;-8,376152263;41,28562531;5;10;19;22;22;31;35;40;47;48;64;69;84;92;112;113;130;136;146;158;163
Palmela;-8,883505734;38,61160685;0;0;0;0;5;7;9;11;11;11;11;11;11;11;11;11;14;14;14;14;15
Pampilhosa Da Serra;-7,89505448;40,07877472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paredes;-8,385358665;41,20627057;7;8;16;18;21;34;35;42;44;46;56;66;91;96;110;113;126;132;141;150;165
Paredes De Coura;-8,570952559;41,9067652;0;0;0;0;0;0;0;0;0;3;3;3;3;5;6;6;6;6;6;6;6
PedrOgAo Grande;-8,180705718;39,9370343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penacova;-8,2850258;40,28573523;0;0;0;4;3;3;5;5;5;6;7;7;7;7;8;8;8;9;9;9;9
Penafiel;-8,289716456;41,16411325;6;7;11;11;13;21;22;31;32;37;39;42;49;53;56;56;72;78;84;91;98
Penalva Do Castelo;-7,688957676;40,67013832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penamacor;-7,160783145;40,15749428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penedono;-7,395328739;40,99785475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penela;-8,374971113;40,00767871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Peniche;-9,349466666;39,34884142;0;0;0;0;0;0;3;0;3;4;5;5;5;6;7;7;7;7;6;7;7
Peso Da REgua;-7,787598627;41,17462587;0;0;0;0;0;0;6;3;5;9;9;9;9;9;9;9;10;11;13;15;15
Pinhel;-7,11423735;40,74464106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;9;9;9;9
Pombal;-8,672426683;39,9206658;3;3;12;13;13;18;19;21;36;36;36;35;35;35;34;34;31;31;31;31;32
Ponte Da Barca;-8,386671453;41,79390706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;4;4
Ponte De Lima;-8,581479507;41,7485156;0;0;5;5;5;3;5;0;0;0;0;5;6;7;12;12;16;17;19;19;19
Ponte De Sor;-8,032722832;39,2312843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Portalegre;-7,42592328;39,28840496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
Portel;-7,725500638;38,30912692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PortimAo;-8,551434682;37,18075246;8;7;16;17;17;18;19;21;22;21;23;22;23;24;25;25;29;30;29;29;30
Porto;-8,620971828;41,16173719;126;137;259;317;343;417;941;462;505;556;606;643;660;689;730;750;776;840;852;885;921
Porto De MOs;-8,821700724;39,58238488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;4;4
POvoa De Lanhoso;-8,260457846;41,57900653;0;0;4;7;7;12;12;14;17;17;17;21;21;21;23;23;25;25;27;28;29
POvoa De Varzim;-8,738184816;41,40149034;0;0;13;15;15;16;24;15;21;23;27;30;30;30;33;34;33;47;56;60;62
Proenca-A-Nova;-7,867990301;39,74420933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Redondo;-7,598467417;38,62320187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reguengos De Monsaraz;-7,52159015;38,4134753;0;0;0;0;3;3;4;3;5;0;7;7;8;8;8;8;8;8;8;8;8
Resende;-7,943430238;41,09113611;0;0;3;9;32;26;27;35;36;37;37;42;45;45;52;52;53;53;53;53;53
Ribeira De Pena;-7,81843686;41,50023474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rio Maior;-8,913672244;39,33407016;0;0;0;0;0;0;4;4;4;4;4;9;9;8;8;8;8;8;8;8;9
Sabrosa;-7,592371114;41,25849817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;4
Sabugal;-7,037697673;40,35980792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salvaterra De Magos;-8,708222042;39,03204216;0;0;0;0;0;0;0;0;0;3;3;4;4;4;5;5;5;5;5;5;5
Santa Comba DAo;-8,121139164;40,40327528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;4
Santa Maria Da Feira;-8,532894568;40,96445484;33;39;45;54;103;136;154;148;162;174;187;212;216;224;231;233;246;254;265;269;279
Santa Marta De PenaguiAo;-7,791640411;41,21894782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SantarEm;-8,711937102;39,28795218;9;9;9;9;20;22;26;27;28;29;29;38;38;38;42;42;46;46;45;47;47
Santiago Do CacEm;-8,656183804;37,99551087;0;0;0;0;0;0;6;6;6;6;6;6;6;7;7;8;8;8;11;11;11
Santo Tirso;-8,407588492;41,33870582;7;8;13;20;24;42;44;43;48;54;58;64;73;82;93;94;107;114;128;139;149
SAo BrAs De Alportel;-7,878642207;37,19568379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
